Date	    Actual
3/1/2022	56.5
4/1/2022	58.3
5/1/2022	57.1
6/1/2022	55.9
7/1/2022	55.3
8/1/2022	56.7
9/1/2022	56.9
10/1/2022	56.7
11/1/2022	54.4
12/1/2022	56.5
1/1/2023	49.6
2/1/2023	55.2
3/1/2023	55.1
4/1/2023	51.2
5/1/2023	51.9
6/1/2023	50.3
7/1/2023	53.9
8/1/2023	52.7
9/1/2023	54.5
10/1/2023	53.6
11/1/2023	51.8
12/1/2023	52.7
1/1/2024	50.6
2/1/2024	53.4
3/1/2024	52.6
4/1/2024	51.4
5/1/2024	49.4
6/1/2024	53.8
7/1/2024	48.8
8/1/2024	51.4
9/1/2024	51.5
10/1/2024	54.9
11/1/2024	56
12/1/2024	52.1
1/1/2025	54.1
2/1/2025	52.8
3/1/2025	53.5
4/1/2025	50.8
5/1/2025	51.6
6/1/2025	49.9
7/1/2025	50.8
8/1/2025	50.1
9/1/2025	52
10/1/2025	50
11/1/2025	52.4
12/1/2025	52.6
